"park","guild","coef","estimate","lower","upper","sign"
"GEWA","Graminoid","Slope",0.064,-0.0446,0.1793,0
"GEWA","Herbaceous","Slope",0.014,-0.1443,0.1707,0
"GEWA","Shrub","Slope",0.055,-0.1045,0.2116,0
"GWMP","Graminoid","Intercept",0.101,-0.2488,0.4636,0
"GWMP","Herbaceous","Intercept",0.666,0.2178,1.1465,1
"GWMP","Shrub","Intercept",0.018,-0.4292,0.4756,0
"GWMP","Tree","Intercept",0.011,-0.4747,0.4593,0
"GWMP","Graminoid","Slope",0.002,-0.1494,0.1546,0
"GWMP","Herbaceous","Slope",0.121,-0.0949,0.3391,0
"GWMP","Shrub","Slope",0.029,-0.187,0.2414,0
"GWMP","Tree","Slope",0.004,-0.2011,0.2303,0
"HAFE","Graminoid","Intercept",-0.012,-0.1894,0.1656,0
"HAFE","Herbaceous","Intercept",0.573,0.347,0.8099,1
"HAFE","Shrub","Intercept",0.057,-0.1758,0.2789,0
"HAFE","Tree","Intercept",0.007,-0.2227,0.2423,0
"HAFE","Graminoid","Slope",0.066,-0.0117,0.1418,0
"HAFE","Herbaceous","Slope",-0.028,-0.143,0.0759,0
"HAFE","Shrub","Slope",0.01,-0.0949,0.1118,0
"HAFE","Tree","Slope",0.011,-0.1009,0.1141,0
"HOFU","Graminoid","Intercept",0.488,0.1157,0.8695,1
"HOFU","Herbaceous","Intercept",0.243,-0.28,0.7506,0
"HOFU","Shrub","Intercept",0.241,-0.3076,0.7274,0
"HOFU","Graminoid","Slope",0.023,-0.1396,0.2027,0
"HOFU","Herbaceous","Slope",-0.034,-0.2717,0.2184,0
"HOFU","Shrub","Slope",0.213,-0.017,0.4718,0
"JOFL","Graminoid","Intercept",0.137,-0.058,0.337,0
"JOFL","Herbaceous","Intercept",-0.006,-0.2712,0.2532,0
"JOFL","Shrub","Intercept",0.005,-0.2574,0.265,0
"JOFL","Graminoid","Slope",-0.024,-0.1088,0.0636,0
"JOFL","Herbaceous","Slope",0.01,-0.1057,0.1264,0
"JOFL","Shrub","Slope",0.086,-0.037,0.2047,0
"MABI","Shrub","Intercept",0,-0.0365,0.0349,0
"MABI","Shrub","Slope",0.01,-0.0048,0.0259,0
"MANA","Graminoid","Intercept",0.183,-0.0186,0.3789,0
"MANA","Herbaceous","Intercept",0.669,0.429,0.9125,1
"MANA","Shrub","Intercept",-0.001,-0.2587,0.2232,0
"MANA","Graminoid","Slope",0.104,0.0291,0.1833,1
"MANA","Herbaceous","Slope",-0.051,-0.1646,0.0631,0
"MANA","Shrub","Slope",0.022,-0.0846,0.1408,0
"MIMA","Herbaceous","Intercept",0.056,-0.1726,0.2869,0
"MIMA","Shrub","Intercept",0.877,0.555,1.2023,1
"MIMA","Tree","Intercept",0.156,-0.1571,0.4753,0
"MIMA","Herbaceous","Slope",0.016,-0.0908,0.1125,0
"MIMA","Shrub","Slope",0.116,-0.0296,0.2582,0
"MIMA","Tree","Slope",-0.025,-0.1711,0.1226,0
"MONO","Graminoid","Intercept",0.458,0.0625,0.8395,1
"MONO","Herbaceous","Intercept",1.427,0.9145,1.9405,1
"MONO","Shrub","Intercept",0.125,-0.428,0.6309,0
"MONO","Tree","Intercept",0.022,-0.5152,0.511,0
"MONO","Graminoid","Slope",0.104,-0.056,0.2648,0
"MONO","Herbaceous","Slope",-0.07,-0.2834,0.1496,0
"MONO","Shrub","Slope",-0.012,-0.2354,0.2067,0
"MONO","Tree","Slope",-0.005,-0.2232,0.2305,0
"MORR","Graminoid","Intercept",0.415,0.0799,0.7394,1
"MORR","Herbaceous","Intercept",0.714,0.2821,1.1206,1
"MORR","Shrub","Intercept",0.844,0.4302,1.2638,1
"MORR","Tree","Intercept",-0.012,-0.4362,0.4109,0
"MORR","Graminoid","Slope",-0.042,-0.1826,0.0928,0
"MORR","Herbaceous","Slope",-0.156,-0.3517,0.0441,0
"MORR","Shrub","Slope",0.266,0.0658,0.4584,1
"MORR","Tree","Slope",0.029,-0.1674,0.2238,0
"NACE","Graminoid","Intercept",0.097,-0.0777,0.2763,0
"NACE","Herbaceous","Intercept",0.741,0.4824,0.9979,1
"NACE","Shrub","Intercept",0.013,-0.2267,0.258,0
"NACE","Tree","Intercept",-0.001,-0.2644,0.2353,0
"NACE","Graminoid","Slope",0.05,-0.0367,0.1276,0
"NACE","Herbaceous","Slope",0.035,-0.0829,0.1529,0
"NACE","Shrub","Slope",0.007,-0.1107,0.1181,0
"NACE","Tree","Slope",0.01,-0.0947,0.1301,0
"NERI","Herbaceous","Intercept",0.098,0.0376,0.1557,1
"NERI","Shrub","Intercept",0.024,-0.0516,0.1007,0
"NERI","Tree","Intercept",0.007,-0.0684,0.0851,0
"NERI","Herbaceous","Slope",-0.003,-0.0271,0.0222,0
"NERI","Shrub","Slope",0.015,-0.0178,0.0483,0
"NERI","Tree","Slope",0.006,-0.0303,0.0391,0
"PETE","Graminoid","Intercept",0.112,0.0229,0.2043,1
"PETE","Shrub","Intercept",0.075,-0.0047,0.1554,0
"PETE","Graminoid","Slope",0.035,0.0092,0.0626,1
"PETE","Shrub","Slope",0.027,-0.0108,0.0639,0
"PRWI","Graminoid","Intercept",0.041,0.0149,0.0659,1
"PRWI","Herbaceous","Intercept",0.056,0.0307,0.0821,1
"PRWI","Graminoid","Slope",-0.003,-0.0119,0.0053,0
"PRWI","Herbaceous","Slope",-0.009,-0.0205,0.0029,0
"RICH","Graminoid","Intercept",0.108,-0.029,0.2407,0
"RICH","Herbaceous","Intercept",0.032,-0.1226,0.1865,0
"RICH","Shrub","Intercept",0.328,0.1829,0.4831,1
"RICH","Graminoid","Slope",0.061,0.0129,0.1084,1
"RICH","Herbaceous","Slope",0.013,-0.0563,0.0873,0
"RICH","Shrub","Slope",-0.003,-0.0729,0.0667,0
"ROCR","Herbaceous","Intercept",0.804,0.4885,1.1142,1
"ROCR","Shrub","Intercept",0.042,-0.3547,0.4344,0
"ROCR","Tree","Intercept",-0.003,-0.4089,0.3833,0
"ROCR","Herbaceous","Slope",0.103,-0.0262,0.2348,0
"ROCR","Shrub","Slope",0.011,-0.1769,0.1861,0
"ROCR","Tree","Slope",0.004,-0.1733,0.1906,0
"ROVA","Graminoid","Intercept",0.025,-0.0916,0.143,0
"ROVA","Herbaceous","Intercept",0.382,0.2349,0.531,1
"ROVA","Shrub","Intercept",0.09,-0.0555,0.2492,0
"ROVA","Tree","Intercept",0.142,-0.0044,0.3003,0
"ROVA","Graminoid","Slope",0.014,-0.0358,0.0662,0
"ROVA","Herbaceous","Slope",-0.02,-0.0882,0.0498,0
"ROVA","Shrub","Slope",0.047,-0.0287,0.1158,0
"ROVA","Tree","Slope",0.016,-0.0614,0.0835,0
"SAGA","Shrub","Intercept",0.042,-0.0325,0.1223,0
"SAGA","Tree","Intercept",-0.014,-0.1091,0.0779,0
"SAGA","Shrub","Slope",0.012,-0.0183,0.0445,0
"SAGA","Tree","Slope",0.012,-0.0307,0.0529,0
"SAHI","Herbaceous","Intercept",0.139,-0.5703,0.8584,0
"SAHI","Shrub","Intercept",0.66,-0.2949,1.6214,0
"SAHI","Tree","Intercept",0.458,-0.5282,1.4696,0
"SAHI","Herbaceous","Slope",0.031,-0.2828,0.3495,0
"SAHI","Shrub","Slope",0.135,-0.3133,0.5982,0
"SAHI","Tree","Slope",-0.084,-0.5525,0.3899,0
"SARA","Herbaceous","Intercept",0.023,-0.1921,0.2413,0
"SARA","Shrub","Intercept",0.701,0.4409,0.9509,1
"SARA","Herbaceous","Slope",0.052,-0.0347,0.1337,0
"SARA","Shrub","Slope",0.143,0.0252,0.2656,1
"THST","Graminoid","Intercept",0.099,-0.1916,0.3929,0
