"","park","guild","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign","guildsign"
"41","BLUE","Graminoid",1,27,6,"c1_Graminoid",-1.39350774781486,0.939711389148252,-0.147725548345401,"1","0","Graminoid_0"
"42","BLUE","Graminoid",2,39,6,"c2_Graminoid",-0.633049839968253,1.06799817371477,0.23945731274056,"2","0","Graminoid_0"
"43","BLUE","Graminoid",3,40,6,"c3_Graminoid",-0.353662407720451,1.6397921090225,0.626640173826521,"3","0","Graminoid_0"
"44","BLUE","Herbaceous",1,27,6,"c1_Herbaceous",1.45724822018567,3.77489803526667,2.61832940286367,"1","0","Herbaceous_0"
"45","BLUE","Herbaceous",2,39,6,"c2_Herbaceous",1.32421704084542,2.98549819179271,2.17116844362607,"2","0","Herbaceous_0"
"46","BLUE","Herbaceous",3,40,6,"c3_Herbaceous",0.738378699916059,2.67037650484107,1.72400748438846,"3","0","Herbaceous_0"
"47","BLUE","Shrub",1,27,6,"c1_Shrub",-0.206922510261907,1.93417845177721,0.924375530559889,"1","0","Shrub_0"
"48","BLUE","Shrub",2,39,6,"c2_Shrub",0.335875943221472,1.9966502033236,1.17384224048309,"2","0","Shrub_0"
"49","BLUE","Shrub",3,40,6,"c3_Shrub",0.361614548407525,2.42764338310065,1.42330895040629,"3","0","Shrub_0"
"50","NERI","Herbaceous",1,78,7,"c1_Herbaceous",0.103851587888011,1.55636987376349,0.801916617553061,"1","0","Herbaceous_0"
"51","NERI","Herbaceous",2,101,7,"c2_Herbaceous",0.28341298597177,1.20998697835933,0.753785509292701,"2","0","Herbaceous_0"
"52","NERI","Herbaceous",3,102,7,"c3_Herbaceous",0.0655066540692615,1.33662919588149,0.705654401032341,"3","0","Herbaceous_0"
"53","NERI","Shrub",1,78,7,"c1_Shrub",-0.42466678072349,1.05094609090286,0.309957709080529,"1","0","Shrub_0"
"54","NERI","Shrub",2,101,7,"c2_Shrub",0.244433779917147,1.16184993943409,0.703126114089626,"2","0","Shrub_0"
"55","NERI","Shrub",3,102,7,"c3_Shrub",0.460234356615575,1.74480754710456,1.09629451909872,"3","0","Shrub_0"
"56","NERI","Tree",1,78,7,"c1_Tree",-0.744508298923553,0.693749996035852,-0.0299352290393693,"1","0","Tree_0"
"57","NERI","Tree",2,101,7,"c2_Tree",-0.457601320703175,0.496716338086829,0.00901748175722497,"2","0","Tree_0"
"58","NERI","Tree",3,102,7,"c3_Tree",-0.570023546192869,0.707772776959328,0.0479701925538193,"3","0","Tree_0"
"59","GEWA","Graminoid",1,8,8,"c1_Graminoid",-1.58942614145545,3.87926051852326,1.12380037843389,"1","1","Graminoid_1"
"60","GEWA","Graminoid",2,8,8,"c2_Graminoid",1.65153404948644,5.60093550997482,3.58915948002075,"2","1","Graminoid_1"
"61","GEWA","Graminoid",3,6,8,"c3_Graminoid",3.17701877835569,9.05615942176388,6.05451858160761,"3","1","Graminoid_1"
"62","GEWA","Herbaceous",1,8,8,"c1_Herbaceous",-2.72362861726285,2.76165970746635,0.0341896154064457,"1","0","Herbaceous_0"
"63","GEWA","Herbaceous",2,8,8,"c2_Herbaceous",-2.02513487015914,2.13243331019078,-0.0236035244053874,"2","0","Herbaceous_0"
"64","GEWA","Herbaceous",3,6,8,"c3_Herbaceous",-3.11511021895532,3.03862340980632,-0.0813966642172204,"3","0","Herbaceous_0"
"65","GEWA","Shrub",1,8,8,"c1_Shrub",-1.85761394352994,3.38811487146763,0.788892306466798,"1","0","Shrub_0"
"66","GEWA","Shrub",2,8,8,"c2_Shrub",-1.1929094168826,2.77252764437071,0.853583464478732,"2","0","Shrub_0"
"67","GEWA","Shrub",3,6,8,"c3_Shrub",-2.0825987835605,3.91196846950214,0.918274622490666,"3","0","Shrub_0"
"68","GARI","Graminoid",1,26,9,"c1_Graminoid",-0.338998913914444,0.759340515400855,0.216421566357143,"1","0","Graminoid_0"
"69","GARI","Graminoid",2,38,9,"c2_Graminoid",-0.16656184981761,0.564650400748769,0.210027182142512,"2","0","Graminoid_0"
"70","GARI","Graminoid",3,43,9,"c3_Graminoid",-0.271244376985426,0.676830875191971,0.20363279792788,"3","0","Graminoid_0"
"71","GARI","Herbaceous",1,26,9,"c1_Herbaceous",-0.585757752577438,0.60333404877673,0.0271489721118051,"1","0","Herbaceous_0"
"72","GARI","Herbaceous",2,38,9,"c2_Herbaceous",-0.283912075267416,0.488475386679768,0.102604296196675,"2","0","Herbaceous_0"
"73","GARI","Herbaceous",3,43,9,"c3_Herbaceous",-0.29036549945078,0.660011506554107,0.178059620281545,"3","0","Herbaceous_0"
"74","GARI","Shrub",1,26,9,"c1_Shrub",-0.419422561005966,0.714574439407171,0.171243431379332,"1","0","Shrub_0"
"75","GARI","Shrub",2,38,9,"c2_Shrub",0.0743195994075369,0.846781052946545,0.44643347035925,"2","0","Shrub_0"
"76","GARI","Shrub",3,43,9,"c3_Shrub",0.273574572464091,1.22771417490987,0.721623509339169,"3","0","Shrub_0"
"77","GARI","Tree",1,26,9,"c1_Tree",-0.418483867956181,0.710121673835287,0.121294972502716,"1","0","Tree_0"
"78","GARI","Tree",2,38,9,"c2_Tree",-0.0790216189773784,0.691134650297082,0.308463758341874,"2","0","Tree_0"
"79","GARI","Tree",3,43,9,"c3_Tree",0.0543216491342032,0.940217110773744,0.495632544181032,"3","0","Tree_0"
"80","FRSP","Shrub",1,104,10,"c1",-0.0538924154758561,0.262065156628035,0.106598081840737,"1","0","Shrub_0"
"81","FRSP","Shrub",2,104,10,"c2",-0.0272149673127466,0.262227692702584,0.121554244269565,"2","0","Shrub_0"
"82","FRSP","Shrub",3,104,10,"c3",-0.0410173434129489,0.299818186624128,0.136510406698392,"3","0","Shrub_0"
"83","THST","Graminoid",1,8,11,"c1_Graminoid",0.138577408616415,7.82672943958147,3.92182831025028,"1","1","Graminoid_1"
"84","THST","Graminoid",2,8,11,"c2_Graminoid",5.57993416521971,11.2670939071823,8.39188079277214,"2","1","Graminoid_1"
