"park","guild","coef","estimate","lower","upper","sign"
"GWMP","Shrub","Intercept",0.165,-17.8554,18.4204,0
"GWMP","Graminoid","Slope",0.063,-5.7807,5.7264,0
"GWMP","Herbaceous","Slope",1.778,-6.8387,9.6908,0
"GWMP","Shrub","Slope",0.426,-7.9674,8.7526,0
"HAFE","Graminoid","Intercept",-1.446,-5.6495,3.3448,0
"HAFE","Herbaceous","Intercept",4.523,-1.2433,10.3216,0
"HAFE","Shrub","Intercept",0.496,-5.5174,5.9908,0
"HAFE","Graminoid","Slope",2.534,0.5844,4.2825,1
"HAFE","Herbaceous","Slope",-0.527,-3.1675,2.1256,0
"HAFE","Shrub","Slope",0.148,-2.4896,2.9067,0
"HOFU","Graminoid","Intercept",23.924,9.9985,37.8763,1
"HOFU","Herbaceous","Intercept",0.134,-18.5135,17.4573,0
"HOFU","Shrub","Intercept",2.43,-14.8169,21.3495,0
"HOFU","Graminoid","Slope",-2.396,-8.7509,3.476,0
"HOFU","Herbaceous","Slope",-0.001,-8.0843,8.8203,0
"HOFU","Shrub","Slope",3.845,-4.807,12.0109,0
"JOFL","Graminoid","Intercept",-0.034,-4.6313,4.7252,0
"JOFL","Herbaceous","Intercept",-0.145,-6.4438,6.4506,0
"JOFL","Shrub","Intercept",-0.288,-6.5268,6.2615,0
"JOFL","Graminoid","Slope",0.345,-1.7236,2.3701,0
"JOFL","Herbaceous","Slope",0.112,-2.7842,2.8621,0
"JOFL","Shrub","Slope",2.124,-0.6735,4.8338,0
"MABI","Shrub","Intercept",-0.014,-0.0495,0.025,0
"MABI","Shrub","Slope",0.014,-0.0038,0.0301,0
"MANA","Graminoid","Intercept",6.397,-2.3743,14.2956,0
"MANA","Herbaceous","Intercept",4.209,-7.4837,15.4216,0
"MANA","Shrub","Intercept",0.29,-10.7795,11.7577,0
"MANA","Graminoid","Slope",3.595,-0.0393,7.4377,0
"MANA","Herbaceous","Slope",0.107,-4.9803,5.446,0
"MANA","Shrub","Slope",-0.031,-5.6383,5.0681,0
"MIMA","Herbaceous","Intercept",1.031,-3.5718,5.6558,0
"MIMA","Shrub","Intercept",11.715,5.2596,17.933,1
"MIMA","Tree","Intercept",0.123,-6.1166,6.2175,0
"MIMA","Herbaceous","Slope",-0.059,-2.1295,1.9198,0
"MIMA","Shrub","Slope",1.142,-1.7981,4.0953,0
"MIMA","Tree","Slope",-0.025,-2.918,2.8238,0
"MONO","Graminoid","Intercept",7.588,-8.8449,24.731,0
"MONO","Herbaceous","Intercept",8.314,-13.8421,32.3855,0
"MONO","Shrub","Intercept",3.922,-19.9078,28.3205,0
"MONO","Graminoid","Slope",8.097,0.7491,14.9224,1
"MONO","Herbaceous","Slope",3.019,-7.1685,12.454,0
"MONO","Shrub","Slope",-0.85,-10.8527,8.7701,0
"MORR","Graminoid","Intercept",8.304,0.7858,15.7241,1
