"","park","guild","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign","guildsign"
"41","BLUE","Graminoid",1,27,6,"c1_Graminoid",-0.0918627035948524,0.141464162644406,0.0237866231898357,"1","0","Graminoid_0"
"42","BLUE","Graminoid",2,39,6,"c2_Graminoid",-0.0291484534667769,0.15432088713252,0.05909746323373,"2","0","Graminoid_0"
"43","BLUE","Graminoid",3,40,6,"c3_Graminoid",-0.0119073012053183,0.198431302301436,0.0944083032776243,"3","0","Graminoid_0"
"44","BLUE","Herbaceous",1,27,6,"c1_Herbaceous",0.209831489363659,0.432605035525875,0.324430071712816,"1","0","Herbaceous_0"
"45","BLUE","Herbaceous",2,39,6,"c2_Herbaceous",0.221113863969296,0.398646277007677,0.30680700963232,"2","0","Herbaceous_0"
"46","BLUE","Herbaceous",3,40,6,"c3_Herbaceous",0.180154350971764,0.395882209324813,0.289183947551825,"3","0","Herbaceous_0"
"47","BLUE","Shrub",1,27,6,"c1_Shrub",0.0157253319964052,0.240313058930131,0.127266323488512,"1","0","Shrub_0"
"48","BLUE","Shrub",2,39,6,"c2_Shrub",0.0724886859118438,0.249764686136385,0.160535012522743,"2","0","Shrub_0"
"49","BLUE","Shrub",3,40,6,"c3_Shrub",0.0939082085156414,0.297874300290666,0.193803701556974,"3","0","Shrub_0"
"50","NERI","Herbaceous",1,78,7,"c1_Herbaceous",0.0539180230991523,0.135328669285079,0.0941690065110602,"1","0","Herbaceous_0"
"51","NERI","Herbaceous",2,101,7,"c2_Herbaceous",0.062635264328937,0.122028531203787,0.0914275469392488,"2","0","Herbaceous_0"
"52","NERI","Herbaceous",3,102,7,"c3_Herbaceous",0.0494303907574847,0.127474790935228,0.0886860873674374,"3","0","Herbaceous_0"
"53","NERI","Shrub",1,78,7,"c1_Shrub",-0.00104529553864448,0.0823458053672122,0.0398048427492989,"1","0","Shrub_0"
"54","NERI","Shrub",2,101,7,"c2_Shrub",0.0254949320788409,0.0847939981954246,0.0547325878387242,"2","0","Shrub_0"
"55","NERI","Shrub",3,102,7,"c3_Shrub",0.0323541573207707,0.107360232657959,0.0696603329281494,"3","0","Shrub_0"
"56","NERI","Tree",1,78,7,"c1_Tree",-0.0285075379814662,0.0516858893089152,0.0123357190946928,"1","0","Tree_0"
"57","NERI","Tree",2,101,7,"c2_Tree",-0.0114440816147724,0.0479590824290227,0.0192153490766599,"2","0","Tree_0"
"58","NERI","Tree",3,102,7,"c3_Tree",-0.0110916251810057,0.0620330081468628,0.0260949790586271,"3","0","Tree_0"
"59","GEWA","Graminoid",1,8,8,"c1_Graminoid",-0.113320213963222,0.214955402385951,0.0604460788370658,"1","0","Graminoid_0"
"60","GEWA","Graminoid",2,8,8,"c2_Graminoid",-0.00591264533201259,0.240665517241106,0.124189584651071,"2","0","Graminoid_0"
"61","GEWA","Graminoid",3,6,8,"c3_Graminoid",0.0115386739699144,0.358553636336266,0.187933090465076,"3","0","Graminoid_0"
"62","GEWA","Herbaceous",1,8,8,"c1_Herbaceous",-0.159264711693548,0.164158196138489,0.00231281850169216,"1","0","Herbaceous_0"
"63","GEWA","Herbaceous",2,8,8,"c2_Herbaceous",-0.117718455726114,0.146578670651848,0.0188597375211229,"2","0","Herbaceous_0"
"64","GEWA","Herbaceous",3,6,8,"c3_Herbaceous",-0.153406992309751,0.223299520347139,0.0354066565405536,"3","0","Herbaceous_0"
"65","GEWA","Shrub",1,8,8,"c1_Shrub",0.214530414625907,0.554720957988087,0.382960370008789,"1","0","Shrub_0"
"66","GEWA","Shrub",2,8,8,"c2_Shrub",0.298969267509776,0.568592591546079,0.433216287730797,"2","0","Shrub_0"
"67","GEWA","Shrub",3,6,8,"c3_Shrub",0.298555560978099,0.664857599706403,0.483472205452805,"3","0","Shrub_0"
"68","GARI","Graminoid",1,26,9,"c1_Graminoid",-0.0528812890251096,0.0750248411009754,0.0102713172785761,"1","0","Graminoid_0"
"69","GARI","Graminoid",2,38,9,"c2_Graminoid",-0.0292250086675344,0.0613610288118968,0.0169124908974006,"2","0","Graminoid_0"
"70","GARI","Graminoid",3,43,9,"c3_Graminoid",-0.0341049518540668,0.0757439819238069,0.0235536645162252,"3","0","Graminoid_0"
"71","GARI","Herbaceous",1,26,9,"c1_Herbaceous",-0.0338694561164185,0.0865631078061302,0.0274653851555903,"1","0","Herbaceous_0"
"72","GARI","Herbaceous",2,38,9,"c2_Herbaceous",0.0143662050657726,0.102220602065082,0.0585341640562218,"2","0","Herbaceous_0"
"73","GARI","Herbaceous",3,43,9,"c3_Herbaceous",0.0359374572716123,0.141857254760725,0.0896029429568533,"3","0","Herbaceous_0"
"74","GARI","Shrub",1,26,9,"c1_Shrub",0.011601838923165,0.130110444216125,0.0683777285315893,"1","0","Shrub_0"
"75","GARI","Shrub",2,38,9,"c2_Shrub",0.0225354912129521,0.112329076292647,0.0674828049724333,"2","0","Shrub_0"
"76","GARI","Shrub",3,43,9,"c3_Shrub",0.0119857759165069,0.119535286006498,0.0665878814132773,"3","0","Shrub_0"
"77","GARI","Tree",1,26,9,"c1_Tree",-0.0148905367375044,0.104313569489246,0.0443063392313535,"1","0","Tree_0"
"78","GARI","Tree",2,38,9,"c2_Tree",0.00896616937357078,0.0931399648059887,0.0532641792959467,"2","0","Tree_0"
"79","GARI","Tree",3,43,9,"c3_Tree",0.0101919007169734,0.114307754961625,0.0622220193605399,"3","0","Tree_0"
"80","FRSP","Shrub",1,104,10,"c1",0.0224485183876882,0.108541172023883,0.065788548660594,"1","0","Shrub_0"
"81","FRSP","Shrub",2,104,10,"c2",0.0306596344111314,0.113613151444624,0.0724414883637157,"2","0","Shrub_0"
"82","FRSP","Shrub",3,104,10,"c3",0.0359038827585053,0.1222872234633,0.0790944280668375,"3","0","Shrub_0"
"83","THST","Graminoid",1,8,11,"c1_Graminoid",0.058185239781086,0.494944847556656,0.273567303664292,"1","1","Graminoid_1"
"84","THST","Graminoid",2,8,11,"c2_Graminoid",0.256575956663658,0.630208700965617,0.450425031901156,"2","1","Graminoid_1"
"85","THST","Graminoid",3,6,11,"c3_Graminoid",0.400288131139566,0.851463355380045,0.627282760138019,"3","1","Graminoid_1"
"86","THST","Herbaceous",1,8,11,"c1_Herbaceous",-0.067860900991511,0.375719777710399,0.145531945272951,"1","0","Herbaceous_0"
"87","THST","Herbaceous",2,8,11,"c2_Herbaceous",0.0403192348509485,0.416675094881559,0.231186086015697,"2","0","Herbaceous_0"
"88","THST","Herbaceous",3,6,11,"c3_Herbaceous",0.0968053507203201,0.546093074340556,0.316840226758442,"3","0","Herbaceous_0"
"89","THST","Shrub",1,8,11,"c1_Shrub",0.262262118717374,0.712619211339825,0.495953672833009,"1","0","Shrub_0"
"90","THST","Shrub",2,8,11,"c2_Shrub",0.280982389695115,0.661548842772995,0.478512702241274,"2","0","Shrub_0"
"91","THST","Shrub",3,6,11,"c3_Shrub",0.228187403430986,0.680199511071477,0.461071731649539,"3","0","Shrub_0"
"92","PRWI","Graminoid",1,145,12,"c1_Graminoid",0.0170763964467345,0.0565765261937337,0.0374224628648936,"1","0","Graminoid_0"
"93","PRWI","Graminoid",2,145,12,"c2_Graminoid",0.0161601286924295,0.0512821899926487,0.0342252848066975,"2","0","Graminoid_0"
"94","PRWI","Graminoid",3,145,12,"c3_Graminoid",0.0109709865562305,0.0505011004625546,0.0310281067485014,"3","0","Graminoid_0"
"95","PRWI","Herbaceous",1,145,12,"c1_Herbaceous",0.0277937143577838,0.0670184773652204,0.0468325721181841,"1","0","Herbaceous_0"
"96","PRWI","Herbaceous",2,145,12,"c2_Herbaceous",0.0198613725150022,0.0548587776723621,0.0374816694961481,"2","0","Herbaceous_0"
